Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Blazias,2022-02-02 20:35:15,00:00:02,,Pokémon Master Journeys: The Series: Part 2: Thrash of the Titans! (Episode 17),,Chrome PC (Cadmium),00:00:23,Not latest view,US (United States)
Blazias,2022-02-02 20:16:45,00:18:24,Autoplayed: user action: None; ,Pokémon Master Journeys: The Series: Part 2: Absol Absolved! (Episode 16),,Chrome PC (Cadmium),00:21:02,00:21:02,US (United States)
Blazias,2022-02-02 19:51:37,00:19:46,,"Pokémon Master Journeys: The Series: Part 2: On Land, in the Sea, and to the Future! (Episode 15)",,Chrome PC (Cadmium),00:21:06,00:21:06,US (United States)
Blazias,2022-02-02 19:27:53,00:19:47,,Pokémon Master Journeys: The Series: Part 2: Not Too Close for Comfort! (Episode 14),,Chrome PC (Cadmium),00:21:07,00:21:07,US (United States)
Blazias,2022-02-02 18:56:16,00:20:02,,Pokémon Master Journeys: The Series: Part 2: Searching for Service With a Smile! (Episode 13),,Chrome PC (Cadmium),00:21:13,00:21:13,US (United States)
Blazias,2022-01-01 01:19:51,00:11:10,,Inside Job: Part 1: Blue Bloods (Episode 3),,Chrome PC (Cadmium),00:11:16,00:11:16,US (United States)
Blazias,2022-01-01 00:53:25,00:24:55,,Inside Job: Part 1: Clone Gunman (Episode 2),,Chrome PC (Cadmium),00:25:28,00:25:28,US (United States)
Blazias,2022-01-01 00:50:21,00:00:16,Autoplayed: user action: None; ,Inside Job: Part 1: Clone Gunman (Episode 2),,Samsung CE 2020 Kant-S2 UHD TV Smart TV,00:00:20,Not latest view,US (United States)
Blazias,2022-01-01 00:18:56,00:29:59,Autoplayed: user action: User_Interaction; ,Inside Job: Part 1: Unpresidented (Episode 1),,Samsung CE 2020 Kant-S2 UHD TV Smart TV,00:29:26,00:29:26,US (United States)
Blazias,2022-01-01 00:17:37,00:00:22,Autoplayed: user action: User_Interaction; ,Inside Job: Part 1: Unpresidented (Episode 1),,FireTV 4K Stick 2018,00:00:22,Not latest view,US (United States)
Blazias,2022-01-01 00:16:55,00:00:25,Autoplayed: user action: User_Interaction; ,Inside Job: Part 1: Unpresidented (Episode 1),,FireTV 4K Stick 2018,00:00:26,Not latest view,US (United States)
Blazias,2021-10-08 12:38:41,00:00:09,Autoplayed: user action: None; ,Disenchantment: Part 2 - Clip 4,PROMOTIONAL,Apple iPhone XR,00:00:09,00:00:09,US (United States)
Blazias,2021-10-07 22:47:47,00:23:45,,No Game No Life: Season 1: Episode 12,,Apple iPhone XR,00:23:45,00:23:45,US (United States)
Blazias,2021-10-07 22:26:43,00:20:56,,No Game No Life: Season 1: Episode 11,,Apple iPhone XR,00:22:18,00:22:18,US (United States)
Blazias,2021-10-07 22:20:09,00:06:33,,No Game No Life: Season 1: Episode 10,,Apple iPhone XR,00:22:18,00:22:18,US (United States)
Blazias,2021-10-07 22:14:00,00:05:31,,No Game No Life: Season 1: Episode 10,,Apple iPhone XR,00:15:45,Not latest view,US (United States)
Blazias,2021-10-07 22:13:11,00:00:44,Autoplayed: user action: None; ,Trailer: The Seven Deadly Sins: Cursed by Light,TRAILER,Apple iPhone XR,00:00:55,00:00:55,US (United States)
Blazias,2021-10-07 02:18:24,00:08:37,,No Game No Life: Season 1: Episode 10,,Apple iPhone XR,00:10:14,Not latest view,US (United States)
Blazias,2021-10-07 01:58:56,00:18:06,,No Game No Life: Season 1: Episode 9,,Apple iPhone XR,00:22:17,00:22:17,US (United States)
Blazias,2021-10-07 01:36:31,00:21:13,,No Game No Life: Season 1: Episode 8,,Apple iPhone XR,00:23:41,00:23:41,US (United States)
Blazias,2021-10-07 01:14:38,00:21:45,,No Game No Life: Season 1: Episode 7,,Apple iPhone XR,00:23:41,00:23:41,US (United States)
Blazias,2021-10-07 00:54:35,00:18:10,,No Game No Life: Season 1: Episode 6,,Apple iPhone XR,00:22:18,00:22:18,US (United States)
Blazias,2021-10-07 00:19:14,00:03:01,,No Game No Life: Season 1: Episode 6,,Apple iPhone XR,00:04:28,Not latest view,US (United States)
Blazias,2021-10-06 23:55:41,00:13:04,,No Game No Life: Season 1: Episode 5,,Apple iPhone XR,00:23:41,00:23:41,US (United States)
Blazias,2021-10-06 23:30:20,00:20:45,,No Game No Life: Season 1: Episode 4,,Apple iPhone XR,00:23:41,00:23:41,US (United States)
Blazias,2021-10-06 23:09:20,00:20:57,,No Game No Life: Season 1: Episode 3,,Apple iPhone XR,00:22:18,00:22:18,US (United States)
Blazias,2021-10-06 22:47:47,00:21:20,,No Game No Life: Season 1: Episode 2,,Apple iPhone XR,00:23:40,00:23:40,US (United States)
Blazias,2021-10-06 22:42:09,00:05:37,,No Game No Life: Season 1: Episode 1,,Apple iPhone XR,00:23:40,00:23:40,US (United States)
Blazias,2021-10-06 21:04:09,00:18:02,,No Game No Life: Season 1: Episode 1,,Apple iPhone XR,00:18:03,Not latest view,US (United States)
Blazias,2021-10-05 20:03:02,00:02:31,,The Disastrous Life of Saiki K.: Season 2: Episode 11,,Chrome PC (Cadmium),00:04:02,00:04:02,US (United States)
Blazias,2021-10-04 19:20:26,00:20:33,,The Disastrous Life of Saiki K.: Season 2: Episode 10,,Chrome PC (Cadmium),00:22:03,00:22:03,US (United States)
Blazias,2021-10-04 18:45:30,00:17:58,,The Disastrous Life of Saiki K.: Season 2: Episode 9,,Chrome PC (Cadmium),00:22:03,00:22:03,US (United States)
Blazias,2021-10-04 18:24:46,00:20:42,,The Disastrous Life of Saiki K.: Season 2: Episode 8,,Chrome PC (Cadmium),00:22:03,00:22:03,US (United States)
Blazias,2021-10-04 18:06:55,00:17:41,,The Disastrous Life of Saiki K.: Season 2: Episode 7,,Chrome PC (Cadmium),00:22:02,00:22:02,US (United States)
Blazias,2021-10-04 17:50:53,00:16:00,,The Disastrous Life of Saiki K.: Season 2: Episode 6,,Chrome PC (Cadmium),00:22:02,00:22:02,US (United States)
Blazias,2021-10-04 01:12:16,00:04:31,Autoplayed: user action: None; ,The Disastrous Life of Saiki K.: Season 2: Episode 6,,Chrome PC (Cadmium),00:06:02,Not latest view,US (United States)
Blazias,2021-10-04 00:51:11,00:20:40,,The Disastrous Life of Saiki K.: Season 2: Episode 5,,Chrome PC (Cadmium),00:23:08,00:23:08,US (United States)
Blazias,2021-10-04 00:30:47,00:19:43,,The Disastrous Life of Saiki K.: Season 2: Episode 4,,Chrome PC (Cadmium),00:22:02,00:22:02,US (United States)
Blazias,2021-10-04 00:05:36,00:19:17,,The Disastrous Life of Saiki K.: Season 2: Episode 3,,Chrome PC (Cadmium),00:22:11,00:22:11,US (United States)
Blazias,2021-10-03 23:39:51,00:21:14,,The Disastrous Life of Saiki K.: Season 2: Episode 2,,Chrome PC (Cadmium),00:22:03,00:22:03,US (United States)
Blazias,2021-10-03 23:27:02,00:12:41,,The Disastrous Life of Saiki K.: Season 2: Episode 1,,Chrome PC (Cadmium),00:23:10,00:23:10,US (United States)
Blazias,2021-10-03 22:43:59,00:06:24,,The Disastrous Life of Saiki K.: Season 2: Episode 1,,Chrome PC (Cadmium),00:07:55,Not latest view,US (United States)
Blazias,2021-10-03 22:21:12,00:18:47,,The Disastrous Life of Saiki K.: Season 1: Episode 24,,Chrome PC (Cadmium),00:22:03,00:22:03,US (United States)
Blazias,2021-10-03 22:00:34,00:20:24,,The Disastrous Life of Saiki K.: Season 1: Episode 23,,Chrome PC (Cadmium),00:22:04,00:22:04,US (United States)
Blazias,2021-10-03 21:12:45,00:19:40,,The Disastrous Life of Saiki K.: Season 1: Episode 22,,Chrome PC (Cadmium),00:22:07,00:22:07,US (United States)
Blazias,2021-10-03 20:53:14,00:19:24,,The Disastrous Life of Saiki K.: Season 1: Episode 21,,Chrome PC (Cadmium),00:22:27,00:22:27,US (United States)
Blazias,2021-10-03 20:27:41,00:14:48,,The Disastrous Life of Saiki K.: Season 1: Episode 20,,Chrome PC (Cadmium),00:21:59,00:21:59,US (United States)
Blazias,2021-10-03 20:07:13,00:20:26,,The Disastrous Life of Saiki K.: Season 1: Episode 19,,Chrome PC (Cadmium),00:22:03,00:22:03,US (United States)
Blazias,2021-10-03 18:57:46,00:00:26,Autoplayed: user action: None; ,The Disastrous Life of Saiki K.: Season 1: Episode 19,,Chrome PC (Cadmium),00:01:57,Not latest view,US (United States)
Blazias,2021-10-03 18:41:00,00:16:38,,The Disastrous Life of Saiki K.: Season 1: Episode 18,,Chrome PC (Cadmium),00:22:03,00:22:03,US (United States)
Blazias,2021-10-03 18:20:49,00:18:44,,The Disastrous Life of Saiki K.: Season 1: Episode 17,,Chrome PC (Cadmium),00:22:09,00:22:09,US (United States)
Blazias,2021-10-03 18:01:54,00:17:31,,The Disastrous Life of Saiki K.: Season 1: Episode 16,,Chrome PC (Cadmium),00:22:03,00:22:03,US (United States)
Blazias,2021-10-03 17:19:43,00:02:34,,The Disastrous Life of Saiki K.: Season 1: Episode 16,,Chrome PC (Cadmium),00:04:05,Not latest view,US (United States)
Blazias,2021-10-03 16:56:36,00:15:50,,The Disastrous Life of Saiki K.: Season 1: Episode 15,,Chrome PC (Cadmium),00:22:10,00:22:10,US (United States)
Blazias,2021-10-02 14:19:32,00:00:01,,The Disastrous Life of Saiki K.: Season 1: Episode 15,,Apple iPhone XR,00:01:32,Not latest view,US (United States)
Blazias,2021-10-02 13:45:15,00:19:53,,The Disastrous Life of Saiki K.: Season 1: Episode 14,,Apple iPhone XR,00:23:46,00:23:46,US (United States)
Blazias,2021-10-01 20:33:10,00:00:02,Autoplayed: user action: None; ,The Disastrous Life of Saiki K.: Season 1: Episode 14,,Chrome PC (Cadmium),00:01:33,Not latest view,US (United States)
Blazias,2021-10-01 20:00:19,00:20:03,,The Disastrous Life of Saiki K.: Season 1: Episode 13,,Chrome PC (Cadmium),00:22:59,00:22:59,US (United States)
Blazias,2021-10-01 19:40:40,00:19:36,,The Disastrous Life of Saiki K.: Season 1: Episode 12,,Chrome PC (Cadmium),00:22:02,00:22:02,US (United States)
Blazias,2021-10-01 19:39:03,00:01:36,,The Disastrous Life of Saiki K.: Season 1: Episode 11,,Chrome PC (Cadmium),00:22:02,00:22:02,US (United States)
Blazias,2021-10-01 17:35:31,00:17:46,,The Disastrous Life of Saiki K.: Season 1: Episode 11,,Chrome PC (Cadmium),00:20:26,Not latest view,US (United States)
Blazias,2021-10-01 17:20:49,00:14:16,,The Disastrous Life of Saiki K.: Season 1: Episode 10,,Chrome PC (Cadmium),00:23:46,00:23:46,US (United States)
Blazias,2021-10-01 17:10:12,00:10:22,,The Disastrous Life of Saiki K.: Season 1: Episode 9,,Chrome PC (Cadmium),00:23:46,00:23:46,US (United States)
Blazias,2021-10-01 15:55:07,00:07:28,,The Disastrous Life of Saiki K.: Season 1: Episode 9,,Chrome PC (Cadmium),00:08:58,Not latest view,US (United States)
Blazias,2021-10-01 15:34:32,00:18:48,,The Disastrous Life of Saiki K.: Season 1: Episode 8,,Chrome PC (Cadmium),00:23:46,00:23:46,US (United States)
Blazias,2021-10-01 14:55:15,00:00:01,,The Disastrous Life of Saiki K.: Season 1: Episode 8,,Chrome PC (Cadmium),00:01:32,Not latest view,US (United States)
Blazias,2021-10-01 14:31:29,00:22:08,,The Disastrous Life of Saiki K.: Season 1: Episode 7,,Chrome PC (Cadmium),00:23:46,00:23:46,US (United States)
Blazias,2021-10-01 13:37:31,00:14:44,,The Disastrous Life of Saiki K.: Season 1: Episode 6,,Chrome PC (Cadmium),00:23:46,00:23:46,US (United States)
Blazias,2021-09-30 21:17:02,00:06:18,,The Disastrous Life of Saiki K.: Season 1: Episode 6,,Chrome PC (Cadmium),00:07:28,Not latest view,US (United States)
Blazias,2021-09-30 20:27:15,00:22:26,,The Disastrous Life of Saiki K.: Season 1: Episode 5,,Chrome PC (Cadmium),00:23:46,00:23:46,US (United States)
Blazias,2021-09-30 19:31:33,00:23:07,,The Disastrous Life of Saiki K.: Season 1: Episode 4,,Chrome PC (Cadmium),00:23:46,00:23:46,US (United States)
Blazias,2021-09-30 19:06:19,00:21:36,,The Disastrous Life of Saiki K.: Season 1: Episode 3,,Chrome PC (Cadmium),00:23:46,00:23:46,US (United States)
Blazias,2021-09-30 03:13:11,00:20:58,,The Disastrous Life of Saiki K.: Season 1: Episode 2,,Apple iPhone XR,00:23:46,00:23:46,US (United States)
Blazias,2021-09-30 02:48:12,00:21:09,,The Disastrous Life of Saiki K.: Season 1: Episode 1,,Apple iPhone XR,00:23:46,00:23:46,US (United States)
Blazias,2021-09-30 02:47:53,00:00:01,,The Disastrous Life of Saiki K.: Season 2: Episode 1,,Apple iPhone XR,00:00:02,Not latest view,US (United States)
Blazias,2021-09-17 19:08:30,00:18:54,,Pokémon Master Journeys: The Series: Part 1: Beyond Chivalry…Aiming to Be a Leek Master! (Episode 12),,Apple iPhone XR,00:21:03,00:21:03,US (United States)
Blazias,2021-09-17 01:55:34,00:18:22,,Pokémon Master Journeys: The Series: Part 1: When a House Is Not a Home! (Episode 11),,Apple iPhone XR,00:20:10,00:20:10,US (United States)
Blazias,2021-09-17 01:55:09,00:00:18,,Pokémon Master Journeys: The Series: Part 1: A Rollicking Roll…Eyes on the Goal! (Episode 10),,Apple iPhone XR,00:21:46,00:21:46,US (United States)
Blazias,2021-09-17 01:13:34,00:18:44,,Pokémon Master Journeys: The Series: Part 1: A Rollicking Roll…Eyes on the Goal! (Episode 10),,Apple iPhone XR,00:19:53,Not latest view,US (United States)
Blazias,2021-09-13 02:12:45,00:00:01,,Pokémon Master Journeys: The Series: Part 1: A Rollicking Roll…Eyes on the Goal! (Episode 10),,Apple iPhone XR,00:00:14,Not latest view,US (United States)
Blazias,2021-09-13 01:53:02,00:19:34,,Pokémon Master Journeys: The Series: Part 1: Memories of a Warming Kindness (Episode 9),,Apple iPhone XR,00:21:02,00:21:02,US (United States)
Blazias,2021-09-13 01:33:03,00:19:43,,Pokémon Master Journeys: The Series: Part 1: Searching for Chivalry! (Episode 8),,Apple iPhone XR,00:21:01,00:21:01,US (United States)
Blazias,2021-09-13 01:16:24,00:16:35,,Pokémon Master Journeys: The Series: Part 1: The Tale of You and Glimwood Tangle! (Episode 7),,Apple iPhone XR,00:21:09,00:21:09,US (United States)
Blazias,2021-09-13 00:10:55,00:02:37,,Pokémon Master Journeys: The Series: Part 1: The Tale of You and Glimwood Tangle! (Episode 7),,Apple iPhone XR,00:03:44,Not latest view,US (United States)
Blazias,2021-09-12 23:48:59,00:18:57,,Pokémon Master Journeys: The Series: Part 1: Sobble Spies a Stealthy Strategy! (Episode 6),,Apple iPhone XR,00:21:05,00:21:05,US (United States)
Blazias,2021-09-12 23:24:21,00:19:48,,Pokémon Master Journeys: The Series: Part 1: Healing the Healer! (Episode 5),,Apple iPhone XR,00:21:05,00:21:05,US (United States)
Blazias,2021-09-12 23:04:45,00:19:27,,Pokémon Master Journeys: The Series: Part 1: How Are Ya Gonna Keep 'Em Off of the Farm? (Episode 4),,Apple iPhone XR,00:21:05,00:21:05,US (United States)
Blazias,2021-09-12 22:44:26,00:20:00,,Pokémon Master Journeys: The Series: Part 1: Trials of a Budding Master! (Episode 3),,Apple iPhone XR,00:21:46,00:21:46,US (United States)
Blazias,2021-09-12 22:20:41,00:20:09,,"Pokémon Master Journeys: The Series: Part 1: A Pinch of This, A Pinch of That! (Episode 2)",,Apple iPhone XR,00:21:11,00:21:11,US (United States)
Blazias,2021-09-12 22:04:05,00:16:26,,"Pokémon Master Journeys: The Series: Part 1: To Train, or Not to Train! (Episode 1)",,Apple iPhone XR,00:21:05,00:21:05,US (United States)
Blazias,2021-09-12 20:47:07,00:03:28,,"Pokémon Master Journeys: The Series: Part 1: To Train, or Not to Train! (Episode 1)",,Apple iPhone XR,00:03:19,Not latest view,US (United States)
Blazias,2021-08-31 03:36:16,00:00:16,Autoplayed: user action: None; ,Hunter X Hunter (2011): Season 1_hook_01_16x9,HOOK,Apple iPhone XR,00:00:17,00:00:17,US (United States)
Blazias,2021-08-31 03:35:14,00:00:53,Autoplayed: user action: None; ,EDENS ZERO: Season 1_hook_primary_16x9,HOOK,Apple iPhone XR,00:00:53,00:00:53,US (United States)
Blazias,2021-08-31 03:07:27,00:22:40,,SHAMAN KING: Season 1: And Hao! (Episode 13),,Apple iPhone XR,00:24:00,00:24:00,US (United States)
Blazias,2021-08-31 02:46:04,00:21:10,,SHAMAN KING: Season 1: Ren vs. En: The End of the Tao (Episode 12),,Apple iPhone XR,00:22:34,00:22:34,US (United States)
Blazias,2021-08-31 02:45:22,00:00:04,,SHAMAN KING: Season 1: Ren vs. En: The End of the Tao (Episode 12),,Apple iPhone XR,00:00:17,Not latest view,US (United States)
Blazias,2021-08-31 02:31:15,00:14:06,,SHAMAN KING: Season 1: A Tale of Two Men (Episode 11),,Apple iPhone XR,00:22:33,00:22:33,US (United States)
Blazias,2021-08-31 02:21:49,00:06:50,,SHAMAN KING: Season 1: A Tale of Two Men (Episode 11),,Apple iPhone XR,00:08:27,Not latest view,US (United States)
Blazias,2021-08-31 01:59:41,00:20:56,,SHAMAN KING: Season 1: Night in the Flame (Episode 10),,Apple iPhone XR,00:22:34,00:22:34,US (United States)
Blazias,2021-08-31 01:34:04,00:22:29,,SHAMAN KING: Season 1: Yoh vs. Ren: Again! (Episode 9),,Apple iPhone XR,00:24:52,00:24:52,US (United States)
Blazias,2021-08-31 01:13:03,00:20:57,,SHAMAN KING: Season 1: Progress (Episode 8),,Apple iPhone XR,00:22:34,00:22:34,US (United States)
Blazias,2021-08-31 00:48:03,00:22:15,,SHAMAN KING: Season 1: A Form of Courage (Episode 7),,Apple iPhone XR,00:24:40,00:24:40,US (United States)
Blazias,2021-08-31 00:06:08,00:20:56,,SHAMAN KING: Season 1: Yoh vs. Horohoro! (Episode 6),,Apple iPhone XR,00:22:34,00:22:34,US (United States)
Blazias,2021-08-30 23:43:29,00:22:22,,SHAMAN KING: Season 1: Over Soul (Episode 5),,Apple iPhone XR,00:24:02,00:24:02,US (United States)
Blazias,2021-08-30 23:40:16,00:03:09,,SHAMAN KING: Season 1: Happy Place (Episode 4),,Apple iPhone XR,00:22:34,00:22:34,US (United States)
Blazias,2021-08-30 23:29:31,00:03:06,,SHAMAN KING: Season 1: Happy Place (Episode 4),,Apple iPhone XR,00:19:25,Not latest view,US (United States)
Blazias,2021-08-30 23:07:39,00:16:24,,SHAMAN KING: Season 1: Happy Place (Episode 4),,Apple iPhone XR,00:16:19,Not latest view,US (United States)
Blazias,2021-08-30 21:35:43,00:00:02,,SHAMAN KING: Season 1: Happy Place (Episode 4),,Apple iPhone XR,00:00:15,Not latest view,US (United States)
Blazias,2021-08-30 21:12:50,00:22:43,,SHAMAN KING: Season 1: Anna and Tao Jun (Episode 3),,Apple iPhone XR,00:24:02,00:24:02,US (United States)
Blazias,2021-08-30 20:51:12,00:20:44,,SHAMAN KING: Season 1: Another Shaman (Episode 2),,Apple iPhone XR,00:22:34,00:22:34,US (United States)
Blazias,2021-08-30 20:34:50,00:09:58,,SHAMAN KING: Season 1: The Boy Who Dances with Ghosts (Episode 1),,Apple iPhone XR,00:24:52,00:24:52,US (United States)
Blazias,2021-08-30 20:10:40,00:13:43,,SHAMAN KING: Season 1: The Boy Who Dances with Ghosts (Episode 1),,Apple iPhone XR,00:13:23,Not latest view,US (United States)
Blazias,2021-08-30 20:09:50,00:00:31,,Part 1 Trailer: Pokémon Master Journeys: The Series,TRAILER,Apple iPhone XR,00:01:31,00:01:31,US (United States)
Blazias,2021-07-01 22:19:50,00:19:59,,The Seven Deadly Sins: Dragon's Judgement: We'll All Be Your Strength (Episode 12),,Chrome PC (Cadmium),00:22:30,00:22:30,US (United States)
Blazias,2021-07-01 22:00:21,00:19:27,,The Seven Deadly Sins: Dragon's Judgement: The One Who Stands Against a God (Episode 11),,Chrome PC (Cadmium),00:22:26,00:22:26,US (United States)
Blazias,2021-07-01 21:40:46,00:19:34,,The Seven Deadly Sins: Dragon's Judgement: The Salvation of the Sun (Episode 10),,Chrome PC (Cadmium),00:22:32,00:22:32,US (United States)
Blazias,2021-07-01 21:19:02,00:19:45,,The Seven Deadly Sins: Dragon's Judgement: That Which Gathers (Episode 9),,Chrome PC (Cadmium),00:22:30,00:22:30,US (United States)
Blazias,2021-07-01 20:49:15,00:19:49,,The Seven Deadly Sins: Dragon's Judgement: The Doorway to Hope (Episode 8),,Chrome PC (Cadmium),00:22:30,00:22:30,US (United States)
Blazias,2021-07-01 20:28:58,00:20:14,,"The Seven Deadly Sins: Dragon's Judgement: Hope, Conflict, and Despair (Episode 7)",,Chrome PC (Cadmium),00:22:29,00:22:29,US (United States)
Blazias,2021-07-01 20:09:08,00:19:47,,The Seven Deadly Sins: Dragon's Judgement: Confront Despair!! (Episode 6),,Chrome PC (Cadmium),00:22:30,00:22:30,US (United States)
Blazias,2021-07-01 19:48:31,00:19:22,,The Seven Deadly Sins: Dragon's Judgement: The Tragic Strike (Episode 5),,Chrome PC (Cadmium),00:22:30,00:22:30,US (United States)
Blazias,2021-07-01 19:22:11,00:19:47,,The Seven Deadly Sins: Dragon's Judgement: The Victims of the Holy War (Episode 4),,Chrome PC (Cadmium),00:22:30,00:22:30,US (United States)
Blazias,2021-07-01 19:00:26,00:19:29,,The Seven Deadly Sins: Dragon's Judgement: A Single-Minded Love (Episode 3),,Chrome PC (Cadmium),00:22:30,00:22:30,US (United States)
Blazias,2021-07-01 17:49:31,00:00:01,,The Seven Deadly Sins: Dragon's Judgement: A Single-Minded Love (Episode 3),,Apple iPhone XR,00:00:52,Not latest view,US (United States)
Blazias,2021-07-01 17:29:03,00:20:14,,The Seven Deadly Sins: Dragon's Judgement: A Meeting with the Unknown (Episode 2),,Apple iPhone XR,00:24:58,00:24:58,US (United States)
Blazias,2021-07-01 16:58:53,00:20:47,,The Seven Deadly Sins: Dragon's Judgement: From Purgatory (Episode 1),,Apple iPhone XR,00:22:30,00:22:30,US (United States)
Blazias,2021-05-11 23:52:42,00:07:18,,Avatar: The Last Airbender: Book 1: The Boy in the Iceberg (Episode 1),,Apple iPhone XR,00:07:18,00:07:18,US (United States)
Blazias,2021-03-14 21:45:57,00:12:06,Autoplayed: user action: None; ,Paradise PD: Part 3: Top Cops (Episode 2),,Chrome PC (Cadmium),00:12:16,00:12:16,US (United States)
Blazias,2021-03-14 21:14:36,00:25:49,,Paradise PD: Part 3: Fallout (Episode 1),,Chrome PC (Cadmium),00:26:53,00:26:53,US (United States)
Blazias,2021-03-14 19:42:15,00:19:50,Autoplayed: user action: None; ,Pokémon Journeys: The Series: Part 4: A Close Call... Practically! (Episode 48),,Chrome PC (Cadmium),00:21:03,00:21:03,US (United States)
Blazias,2021-03-14 19:22:01,00:20:11,Autoplayed: user action: None; ,Pokémon Journeys: The Series: Part 4: Crowning the Chow Crusher! (Episode 47),,Chrome PC (Cadmium),00:21:06,00:21:06,US (United States)
Blazias,2021-03-14 19:00:03,00:20:07,Autoplayed: user action: None; ,Pokémon Journeys: The Series: Part 4: Getting More Than You Battled For! (Episode 46),,Chrome PC (Cadmium),00:21:06,00:21:06,US (United States)
Blazias,2021-03-14 18:46:55,00:13:07,,Pokémon Journeys: The Series: Part 4: Sword and Shield... The Legends Awaken! (Episode 45),,Chrome PC (Cadmium),00:21:06,00:21:06,US (United States)
Blazias,2021-03-13 18:11:12,00:06:43,,Pokémon Journeys: The Series: Part 4: Sword and Shield... The Legends Awaken! (Episode 45),,Chrome PC (Cadmium),00:07:59,Not latest view,US (United States)
Blazias,2021-03-13 17:51:48,00:19:23,,Pokémon Journeys: The Series: Part 4: Sword and Shield: From Here to Eternatus! (Episode 44),,Chrome PC (Cadmium),00:21:02,00:21:02,US (United States)
Blazias,2021-03-13 17:28:26,00:19:45,Autoplayed: user action: Unspecified; ,Pokémon Journeys: The Series: Part 4: Sword and Shield: The Darkest Day! (Episode 43),,Chrome PC (Cadmium),00:21:02,00:21:02,US (United States)
Blazias,2021-03-13 17:19:04,00:09:20,,"Pokémon Journeys: The Series: Part 4: Sword and Shield, Slumbering Weald! (Episode 42)",,Chrome PC (Cadmium),00:21:06,00:21:06,US (United States)
Blazias,2021-03-13 14:31:42,00:11:01,,"Pokémon Journeys: The Series: Part 4: Sword and Shield, Slumbering Weald! (Episode 42)",,Chrome PC (Cadmium),00:11:46,Not latest view,US (United States)
